"Symbol","Name","Entrez.ID","Ensembl.ID"
"LRP11","LDL receptor related protein 11","84918","ENSG00000120256.9"
"CCDC170","coiled-coil domain containing 170","80129","ENSG00000120262.9"
"PCMT1","protein-L-isoaspartate (D-aspartate) O-methyltransferase","5110","ENSG00000120265.16"
"PLEKHG1","pleckstrin homology and RhoGEF domain containing G1","57480","ENSG00000120278.15"
"MYCT1","MYC target 1","80177","ENSG00000120279.6"
"CXorf21","chromosome X open reading frame 21","80231","ENSG00000120280.5"
"MAGEB4","MAGE family member B4","4115","ENSG00000120289.11"
"CYSTM1","cysteine rich transmembrane module containing 1","84418","ENSG00000120306.9"
"WDR55","WD repeat domain 55","54853","ENSG00000120314.18"
"ARAP3","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3","64411","ENSG00000120318.15"
"PCDHB8","protocadherin beta 8","56128","ENSG00000120322.3"
"PCDHB10","protocadherin beta 10","56126","ENSG00000120324.8"
"PCDHB14","protocadherin beta 14","56122","ENSG00000120327.6"
"PCDHB12","protocadherin beta 12","56124","ENSG00000120328.6"
"SLC25A2","solute carrier family 25 member 2","83884","ENSG00000120329.6"
"TNN","tenascin N","63923","ENSG00000120332.15"
"MRPS14","mitochondrial ribosomal protein S14","63931","ENSG00000120333.4"
"CENPL","centromere protein L","91687","ENSG00000120334.15"
"TNFSF18","TNF superfamily member 18","8995","ENSG00000120337.8"
"SEC16B","SEC16 homolog B, endoplasmic reticulum export factor","89866","ENSG00000120341.18"
"GORAB","golgin, RAB6 interacting","92344","ENSG00000120370.12"
"GPR31","G protein-coupled receptor 31","2853","ENSG00000120436.3"
"ACAT2","acetyl-CoA acetyltransferase 2","39","ENSG00000120437.8"
"TCP1","t-complex 1","6950","ENSG00000120438.11"
"TTLL2","tubulin tyrosine ligase like 2","83887","ENSG00000120440.13"
"SNX19","sorting nexin 19","399979","ENSG00000120451.10"
"KCNJ5","potassium voltage-gated channel subfamily J member 5","3762","ENSG00000120457.11"
"MSANTD2","Myb/SANT DNA binding domain containing 2","79684","ENSG00000120458.10"
"TP53AIP1","tumor protein p53 regulated apoptosis inducing protein 1","63970","ENSG00000120471.14"
"TEX11","testis expressed 11",NA,"ENSG00000120498.13"
"ARR3","arrestin 3","407","ENSG00000120500.17"
"PDZD11","PDZ domain containing 11","51248","ENSG00000120509.10"
"SLC10A7","solute carrier family 10 member 7","84068","ENSG00000120519.14"
"NUDCD1","NudC domain containing 1","84955","ENSG00000120526.10"
"ENY2","ENY2, transcription and export complex 2 subunit","56943","ENSG00000120533.12"
"MASTL","microtubule associated serine/threonine kinase like","84930","ENSG00000120539.14"
"KIAA1217","KIAA1217","56243","ENSG00000120549.17"
"SEPT7P9","septin 7 pseudogene 9","285961","ENSG00000120555.13"
"LYZL1","lysozyme like 1","84569","ENSG00000120563.8"
"PLXDC2","plexin domain containing 2","84898","ENSG00000120594.16"
"EPC1","enhancer of polycomb homolog 1","80314","ENSG00000120616.15"
"IQSEC3","IQ motif and Sec7 domain 3","440073","ENSG00000120645.11"
"CCDC77","coiled-coil domain containing 77","84318","ENSG00000120647.9"
"TAF12","TATA-box binding protein associated factor 12","6883","ENSG00000120656.11"
"ENOX1","ecto-NOX disulfide-thiol exchanger 1","55068","ENSG00000120658.13"
"TNFSF11","TNF superfamily member 11",NA,"ENSG00000120659.14"
"MTRF1","mitochondrial translation release factor 1","9617","ENSG00000120662.15"
"SPART-AS1","SPART antisense RNA 1","100507135","ENSG00000120664.10"
"SOHLH2","spermatogenesis and oogenesis specific basic helix-loop-helix 2","54937","ENSG00000120669.15"
"DNAJC15","DnaJ heat shock protein family (Hsp40) member C15","29103","ENSG00000120675.5"
"PROSER1","proline and serine rich 1","80209","ENSG00000120685.19"
"UFM1","ubiquitin fold modifier 1","51569","ENSG00000120686.11"
"WBP4","WW domain binding protein 4","11193","ENSG00000120688.8"
"ELF1","E74 like ETS transcription factor 1","1997","ENSG00000120690.14"
"SMAD9","SMAD family member 9","4093","ENSG00000120693.13"
"HSPH1","heat shock protein family H (Hsp110) member 1","10808","ENSG00000120694.19"
"KBTBD7","kelch repeat and BTB domain containing 7","84078","ENSG00000120696.8"
"ALG5","ALG5, dolichyl-phosphate beta-glucosyltransferase","29880","ENSG00000120697.8"
"EXOSC8","exosome component 8","11340","ENSG00000120699.12"
"ETF1","eukaryotic translation termination factor 1","2107","ENSG00000120705.12"
"TGFBI","transforming growth factor beta induced","7045","ENSG00000120708.16"
"FAM53C","family with sequence similarity 53 member C","51307","ENSG00000120709.10"
"SIL1","SIL1 nucleotide exchange factor","64374","ENSG00000120725.12"
"PAIP2","poly(A) binding protein interacting protein 2","51247","ENSG00000120727.12"
"MYOT","myotilin","9499","ENSG00000120729.9"
"KDM3B","lysine demethylase 3B","51780","ENSG00000120733.13"
"EGR1","early growth response 1","1958","ENSG00000120738.7"
"SERP1","stress associated endoplasmic reticulum protein 1","27230","ENSG00000120742.10"
"PLS1","plastin 1","5357","ENSG00000120756.12"
"ZFP30","ZFP30 zinc finger protein","22835","ENSG00000120784.15"
"NR2C1","nuclear receptor subfamily 2 group C member 1","7181","ENSG00000120798.16"
"UTP20","UTP20, small subunit processome component","27340","ENSG00000120800.4"
"TMPO","thymopoietin","7112","ENSG00000120802.13"
"ARL1","ADP ribosylation factor like GTPase 1","400","ENSG00000120805.13"
"GLT8D2","glycosyltransferase 8 domain containing 2","83468","ENSG00000120820.12"
"MTERF2","mitochondrial transcription termination factor 2","80298","ENSG00000120832.9"
"SOCS2","suppressor of cytokine signaling 2","8835","ENSG00000120833.13"
"NFYB","nuclear transcription factor Y subunit beta","4801","ENSG00000120837.7"
"WASHC3","WASH complex subunit 3","51019","ENSG00000120860.10"
"APAF1","apoptotic peptidase activating factor 1","317","ENSG00000120868.13"
"DUSP4","dual specificity phosphatase 4","1846","ENSG00000120875.8"
"CLU","clusterin","1191","ENSG00000120885.20"
"TNFRSF10B","TNF receptor superfamily member 10b","8795","ENSG00000120889.12"
"SORBS3","sorbin and SH3 domain containing 3","10174","ENSG00000120896.13"
"PTK2B","protein tyrosine kinase 2 beta","2185","ENSG00000120899.17"
"CHRNA2","cholinergic receptor nicotinic alpha 2 subunit","1135","ENSG00000120903.12"
"ADRA1A","adrenoceptor alpha 1A","148","ENSG00000120907.17"
"PPP3CC","protein phosphatase 3 catalytic subunit gamma","5533","ENSG00000120910.14"
"PDLIM2","PDZ and LIM domain 2","64236","ENSG00000120913.23"
"EPHX2","epoxide hydrolase 2","2053","ENSG00000120915.13"
"RNF170","ring finger protein 170","81790","ENSG00000120925.14"
"NPPB","natriuretic peptide B","4879","ENSG00000120937.8"
"UBIAD1","UbiA prenyltransferase domain containing 1","29914","ENSG00000120942.13"
"TARDBP","TAR DNA binding protein","23435","ENSG00000120948.15"
"TNFRSF8","TNF receptor superfamily member 8","943","ENSG00000120949.14"
"PRAMEF2","PRAME family member 2","65122","ENSG00000120952.4"
"ZNF706","zinc finger protein 706","51123","ENSG00000120963.11"
"LYPLA1","lysophospholipase 1","10434","ENSG00000120992.17"
"CRISPLD1","cysteine rich secretory protein LCCL domain containing 1","83690","ENSG00000121005.8"
"COPS5","COP9 signalosome subunit 5","10987","ENSG00000121022.13"
"RDH10","retinol dehydrogenase 10","157506","ENSG00000121039.9"
"EPX","eosinophil peroxidase","8288","ENSG00000121053.5"
"AKAP1","A-kinase anchoring protein 1","8165","ENSG00000121057.12"
"COIL","coilin","8161","ENSG00000121058.4"
"","","0","ENSG00000121060.15"
"SCPEP1","serine carboxypeptidase 1","59342","ENSG00000121064.12"
"SPOP","speckle type BTB/POZ protein","8405","ENSG00000121067.17"
"TBX2","T-box 2","6909","ENSG00000121068.13"
"SLC35B1","solute carrier family 35 member B1","10237","ENSG00000121073.13"
"TBX4","T-box 4","9496","ENSG00000121075.9"
"NACA3P","NACA family member 3, pseudogene","389240","ENSG00000121089.4"
"TEX14","testis expressed 14, intercellular bridge forming factor","56155","ENSG00000121101.15"
"","","0","ENSG00000121104.7"
"NCAPH","non-SMC condensin I complex subunit H","23397","ENSG00000121152.9"
"LRAT","lecithin retinol acyltransferase","9227","ENSG00000121207.11"
"TMEM131L","transmembrane 131 like","23240","ENSG00000121210.15"
"MND1","meiotic nuclear divisions 1","84057","ENSG00000121211.7"
"TRIM6","tripartite motif containing 6","117854","ENSG00000121236.20"
"ABCC11","ATP binding cassette subfamily C member 11","85320","ENSG00000121270.15"
"TENT4B","terminal nucleotidyltransferase 4B","64282","ENSG00000121274.12"
"ADCY7","adenylate cyclase 7","113","ENSG00000121281.12"
"CEP89","centrosomal protein 89","84902","ENSG00000121289.17"
"TSHZ3","teashirt zinc finger homeobox 3","57616","ENSG00000121297.6"
"ECHDC2","enoyl-CoA hydratase domain containing 2","55268","ENSG00000121310.16"
"TAS2R8","taste 2 receptor member 8","50836","ENSG00000121314.2"
"PLBD1","phospholipase B domain containing 1","79887","ENSG00000121316.10"
"TAS2R10","taste 2 receptor member 10","50839","ENSG00000121318.2"
"PRB2","proline rich protein BstNI subfamily 2","653247","ENSG00000121335.11"
"PYROXD1","pyridine nucleotide-disulphide oxidoreductase domain 1","79912","ENSG00000121350.15"
"IAPP","islet amyloid polypeptide","3375","ENSG00000121351.7"
"KCNJ8","potassium voltage-gated channel subfamily J member 8","3764","ENSG00000121361.3"
"TAS2R7","taste 2 receptor member 7","50837","ENSG00000121377.2"
"BCL2L14","BCL2 like 14","79370","ENSG00000121380.12"
"TAS2R9","taste 2 receptor member 9","50835","ENSG00000121381.3"
"","","0","ENSG00000121388.5"
"PSPC1","paraspeckle component 1","55269","ENSG00000121390.18"
"","","0","ENSG00000121406.8"
"A1BG","alpha-1-B glycoprotein","1","ENSG00000121410.11"
"ZSCAN18","zinc finger and SCAN domain containing 18","65982","ENSG00000121413.12"
"ZNF211","zinc finger protein 211",NA,"ENSG00000121417.13"
"PDZRN3","PDZ domain containing ring finger 3","23024","ENSG00000121440.14"
"RGSL1","regulator of G protein signaling like 1","353299","ENSG00000121446.18"
"LHX4","LIM homeobox 4","89884","ENSG00000121454.5"
"RNF2","ring finger protein 2","6045","ENSG00000121481.10"
"TRMT1L","tRNA methyltransferase 1 like","81627","ENSG00000121486.11"
"SEC22A","SEC22 homolog A, vesicle trafficking protein","26984","ENSG00000121542.11"
"CSTA","cystatin A","1475","ENSG00000121552.3"
"DPPA4","developmental pluripotency associated 4","55211","ENSG00000121570.12"
"POPDC2","popeye domain containing 2","64091","ENSG00000121577.13"
"B4GALT4","beta-1,4-galactosyltransferase 4","8702","ENSG00000121578.12"
"NAA50","N(alpha)-acetyltransferase 50, NatE catalytic subunit","80218","ENSG00000121579.12"
"CD80","CD80 molecule","941","ENSG00000121594.11"
"KIF18A","kinesin family member 18A","81930","ENSG00000121621.6"
"GJA8","gap junction protein alpha 8","2703","ENSG00000121634.5"
"DESI2","desumoylating isopeptidase 2","51029","ENSG00000121644.18"
"MAPK8IP1","mitogen-activated protein kinase 8 interacting protein 1","9479","ENSG00000121653.11"
"CRY2","cryptochrome circadian regulator 2","1408","ENSG00000121671.11"
"PEX16","peroxisomal biogenesis factor 16","9409","ENSG00000121680.15"
"DEPDC7","DEP domain containing 7","91614","ENSG00000121690.10"
"CAT","catalase","847","ENSG00000121691.4"
"PILRB","paired immunoglobin-like type 2 receptor beta","29990","ENSG00000121716.19"
"ZMYM2","zinc finger MYM-type containing 2","7750","ENSG00000121741.16"
"GJB6","gap junction protein beta 6","10804","ENSG00000121742.16"
"GJA3","gap junction protein alpha 3","2700","ENSG00000121743.3"
"TBC1D15","TBC1 domain family member 15","64786","ENSG00000121749.15"
"ADGRB2","adhesion G protein-coupled receptor B2","576","ENSG00000121753.12"
"HCRTR1","hypocretin receptor 1","3061","ENSG00000121764.11"
"ZCCHC17","zinc finger CCHC-type containing 17","51538","ENSG00000121766.15"
"FABP3","fatty acid binding protein 3","2170","ENSG00000121769.7"
"KHDRBS1","KH RNA binding domain containing, signal transduction associated 1","10657","ENSG00000121774.17"
"TMEM39B","transmembrane protein 39B","55116","ENSG00000121775.17"
"CCRL2","C-C motif chemokine receptor like 2","9034","ENSG00000121797.9"
"CCR2","C-C motif chemokine receptor 2","729230","ENSG00000121807.5"
"POLR3GL","RNA polymerase III subunit G like","84265","ENSG00000121851.12"
"GHSR","growth hormone secretagogue receptor","2693","ENSG00000121853.3"
"TNFSF10","TNF superfamily member 10",NA,"ENSG00000121858.10"
"ZNF639","zinc finger protein 639","51193","ENSG00000121864.9"
"SLITRK3","SLIT and NTRK like family member 3","22865","ENSG00000121871.3"
"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","5290","ENSG00000121879.3"
"PDS5A","PDS5 cohesin associated factor A","23244","ENSG00000121892.14"
"TMEM156","transmembrane protein 156","80008","ENSG00000121895.7"
"LIAS","lipoic acid synthetase","11019","ENSG00000121897.13"
"CPXM2","carboxypeptidase X, M14 family member 2","119587","ENSG00000121898.12"
"TMEM54","transmembrane protein 54","113452","ENSG00000121900.18"
"ZSCAN20","zinc finger and SCAN domain containing 20","7579","ENSG00000121903.14"
"CSMD2","CUB and Sushi multiple domains 2","114784","ENSG00000121904.17"
"HPCA","hippocalcin","3208","ENSG00000121905.9"
"LRIF1","ligand dependent nuclear receptor interacting factor 1","55791","ENSG00000121931.15"
"TMIGD3","transmembrane and immunoglobulin domain containing 3","57413","ENSG00000121933.18"
"CLCC1","chloride channel CLIC like 1","23155","ENSG00000121940.15"
"GPSM2","G protein signaling modulator 2","29899","ENSG00000121957.12"
"GTDC1","glycosyltransferase like domain containing 1","79712","ENSG00000121964.14"
"CXCR4","C-X-C motif chemokine receptor 4","7852","ENSG00000121966.6"
"ZRANB3","zinc finger RANBP2-type containing 3","84083","ENSG00000121988.17"
"ACVR2A","activin A receptor type 2A","92","ENSG00000121989.14"
"POLK","DNA polymerase kappa","51426","ENSG00000122008.15"
"SV2C","synaptic vesicle glycoprotein 2C","22987","ENSG00000122012.13"
"FLT3","fms related tyrosine kinase 3","2322","ENSG00000122025.14"
"RPL21","ribosomal protein L21","6144","ENSG00000122026.10"
"MTIF3","mitochondrial translational initiation factor 3","219402","ENSG00000122033.14"
"GTF3A","general transcription factor IIIA","2971","ENSG00000122034.13"
"RASL11A","RAS like family 11 member A","387496","ENSG00000122035.6"
"UBL3","ubiquitin like 3","5412","ENSG00000122042.9"
"LINC00544","long intergenic non-protein coding RNA 544","440131","ENSG00000122043.10"
"FYTTD1","forty-two-three domain containing 1","84248","ENSG00000122068.12"
"MTERF4","mitochondrial transcription termination factor 4","130916","ENSG00000122085.16"
"XPNPEP2","X-prolyl aminopeptidase 2","7512","ENSG00000122121.10"
"SASH3","SAM and SH3 domain containing 3","54440","ENSG00000122122.9"
"OCRL","OCRL, inositol polyphosphate-5-phosphatase","4952","ENSG00000122126.15"
"PAEP","progestagen associated endometrial protein","5047","ENSG00000122133.16"
"OBP2A","odorant binding protein 2A","29991","ENSG00000122136.13"
"MRPS2","mitochondrial ribosomal protein S2","51116","ENSG00000122140.10"
"TBX22","T-box 22","50945","ENSG00000122145.14"
"FMOD","fibromodulin","2331","ENSG00000122176.10"
"MYOG","myogenin","4656","ENSG00000122180.4"
"LAX1","lymphocyte transmembrane adaptor 1","54900","ENSG00000122188.12"
"PLG","plasminogen","5340","ENSG00000122194.18"
"KIAA1191","KIAA1191","57179","ENSG00000122203.14"
"COPA","coatomer protein complex subunit alpha","1314","ENSG00000122218.14"
"CD244","CD244 molecule","51744","ENSG00000122223.12"
"LY9","lymphocyte antigen 9","4063","ENSG00000122224.17"
"HS3ST2","heparan sulfate-glucosamine 3-sulfotransferase 2","9956","ENSG00000122254.6"
"RBBP6","RB binding protein 6, ubiquitin ligase","5930","ENSG00000122257.18"
"ZC3H7A","zinc finger CCCH-type containing 7A","29066","ENSG00000122299.11"
"PRM2","protamine 2","5620","ENSG00000122304.10"
"SERAC1","serine active site containing 1","84947","ENSG00000122335.13"
"ANXA11","annexin A11","311","ENSG00000122359.17"
"LDB3","LIM domain binding 3","11155","ENSG00000122367.19"
"OPN4","opsin 4","94233","ENSG00000122375.11"
"SHLD2","shieldin complex subunit 2","54537","ENSG00000122376.11"
"PRXL2A","peroxiredoxin like 2A","84293","ENSG00000122378.13"
"ZNF205","zinc finger protein 205","7755","ENSG00000122386.10"
"NAA60","N(alpha)-acetyltransferase 60, NatF catalytic subunit","79903","ENSG00000122390.17"
"RPL5","ribosomal protein L5","6125","ENSG00000122406.12"
"ODF2L","outer dense fiber of sperm tails 2 like","57489","ENSG00000122417.15"
"PTGFR","prostaglandin F receptor","5737","ENSG00000122420.9"
"SPATA1","spermatogenesis associated 1","100505741","ENSG00000122432.16"
"TRMT13","tRNA methyltransferase 13 homolog","54482","ENSG00000122435.9"
"LRRC39","leucine rich repeat containing 39","127495","ENSG00000122477.12"
"RWDD3","RWD domain containing 3","25950","ENSG00000122481.16"
"ZNF644","zinc finger protein 644","84146","ENSG00000122482.20"
"CCDC18","coiled-coil domain containing 18","343099","ENSG00000122483.17"
"RPAP2","RNA polymerase II associated protein 2","79871","ENSG00000122484.8"
"PQLC1","PQ loop repeat containing 1","80148","ENSG00000122490.18"
"BBS9","Bardet-Biedl syndrome 9","27241","ENSG00000122507.20"
"PMS2","PMS1 homolog 2, mismatch repair system component","5395","ENSG00000122512.14"
"ZMIZ2","zinc finger MIZ-type containing 2","83637","ENSG00000122515.14"
"OCM","oncomodulin","654231","ENSG00000122543.10"
"SEPT7","septin 7","989","ENSG00000122545.18"
"EEPD1","endonuclease/exonuclease/phosphatase family domain containing 1","80820","ENSG00000122547.10"
"KIAA0087","KIAA0087 lncRNA","9808","ENSG00000122548.5"
"KLHL7","kelch like family member 7","55975","ENSG00000122550.17"
"HERPUD2","HERPUD family member 2","64224","ENSG00000122557.9"
"CBX3","chromobox 3","11335","ENSG00000122565.18"
"HNRNPA2B1","heterogeneous nuclear ribonucleoprotein A2/B1","3181","ENSG00000122566.20"
"WIPF3","WAS/WASL interacting protein family member 3","644150","ENSG00000122574.10"
"NXPH1","neurexophilin 1","30010","ENSG00000122584.12"
"NPY","neuropeptide Y","4852","ENSG00000122585.7"
"FAM126A","family with sequence similarity 126 member A","84668","ENSG00000122591.11"
"HOXA7","homeobox A7","3204","ENSG00000122592.7"
"INHBA","inhibin subunit beta A","3624","ENSG00000122641.10"
"FKBP9","FKBP prolyl isomerase 9","11328","ENSG00000122642.10"
"NT5C3A","5'-nucleotidase, cytosolic IIIA","51251","ENSG00000122643.18"
"ARL4A","ADP ribosylation factor like GTPase 4A","10124","ENSG00000122644.12"
"CCZ1","CCZ1 homolog, vacuolar protein trafficking and biogenesis associated","51622","ENSG00000122674.11"
"POLM","DNA polymerase mu","27434","ENSG00000122678.15"
"RAMP3","receptor activity modifying protein 3","10268","ENSG00000122679.8"
"MRM2","mitochondrial rRNA methyltransferase 2","29960","ENSG00000122687.17"
"TWIST1","twist family bHLH transcription factor 1","7291","ENSG00000122691.12"
"SMU1","SMU1, DNA replication regulator and spliceosomal factor","55234","ENSG00000122692.8"
"GLIPR2","GLI pathogenesis related 2","152007","ENSG00000122694.15"
"SLC25A51","solute carrier family 25 member 51","92014","ENSG00000122696.13"
"CLTA","clathrin light chain A","1211","ENSG00000122705.16"
"RECK","reversion inducing cysteine rich protein with kazal motifs","8434","ENSG00000122707.11"
"SPINK4","serine peptidase inhibitor, Kazal type 4","27290","ENSG00000122711.8"
"TAF1L","TATA-box binding protein associated factor 1 like","138474","ENSG00000122728.6"
"ACO1","aconitase 1","48","ENSG00000122729.18"
"PHF24","PHD finger protein 24","23349","ENSG00000122733.12"
"DNAI1","dynein axonemal intermediate chain 1","27019","ENSG00000122735.15"
"DCAF10","DDB1 and CUL4 associated factor 10","79269","ENSG00000122741.15"
"CNTFR","ciliary neurotrophic factor receptor","1271","ENSG00000122756.14"
"KIAA1549","KIAA1549","57670","ENSG00000122778.9"
"TRIM24","tripartite motif containing 24","8805","ENSG00000122779.17"
"CYREN","cell cycle regulator of NHEJ","78996","ENSG00000122783.16"
"CALD1","caldesmon 1","800","ENSG00000122786.19"
"AKR1D1","aldo-keto reductase family 1 member D1","6718","ENSG00000122787.14"
"NUDT10","nudix hydrolase 10","170685","ENSG00000122824.10"
"SFTPA1","surfactant protein A1","653509","ENSG00000122852.14"
"NEUROG3","neurogenin 3","50674","ENSG00000122859.4"
"PLAU","plasminogen activator, urokinase","5328","ENSG00000122861.15"
"SRGN","serglycin","5552","ENSG00000122862.4"
"CHST3","carbohydrate sulfotransferase 3","9469","ENSG00000122863.5"
"BICC1","BicC family RNA binding protein 1","80114","ENSG00000122870.11"
"ARL4AP1","ADP ribosylation factor like GTPase 4A pseudogene 1","387684","ENSG00000122872.8"
"CISD1","CDGSH iron sulfur domain 1","55847","ENSG00000122873.11"
"EGR2","early growth response 2","1959","ENSG00000122877.14"
"ECD","ecdysoneless cell cycle regulator","11319","ENSG00000122882.10"
"P4HA1","prolyl 4-hydroxylase subunit alpha 1","5033","ENSG00000122884.12"
"SLC25A16","solute carrier family 25 member 16","8034","ENSG00000122912.14"
"ZWINT","ZW10 interacting kinetochore protein",NA,"ENSG00000122952.16"
"VPS26A","VPS26, retromer complex component A","9559","ENSG00000122958.14"
"RBM19","RNA binding motif protein 19","9904","ENSG00000122965.10"
"CIT","citron rho-interacting serine/threonine kinase","11113","ENSG00000122966.14"
"IFT81","intraflagellar transport 81","28981","ENSG00000122970.15"
"ACADS","acyl-CoA dehydrogenase short chain","35","ENSG00000122971.8"
"HVCN1","hydrogen voltage gated channel 1","84329","ENSG00000122986.13"
"NME2P1","NME/NM23 nucleoside diphosphate kinase 2 pseudogene 1","283458","ENSG00000123009.4"
"DDX54","DEAD-box helicase 54","79039","ENSG00000123064.12"
"MED13L","mediator complex subunit 13 like","23389","ENSG00000123066.7"
"CDKN2C","cyclin dependent kinase inhibitor 2C","1031","ENSG00000123080.10"
"RNF11","ring finger protein 11","26994","ENSG00000123091.4"
"RASSF8","Ras association domain family member 8","11228","ENSG00000123094.15"
"BHLHE41","basic helix-loop-helix family member e41","79365","ENSG00000123095.5"
"","","0","ENSG00000123096.11"
"ITPR2","inositol 1,4,5-trisphosphate receptor type 2","3709","ENSG00000123104.11"
"","","0","ENSG00000123106.10"
"NECAB1","N-terminal EF-hand calcium binding protein 1","64168","ENSG00000123119.11"
"WWP1","WW domain containing E3 ubiquitin protein ligase 1","11059","ENSG00000123124.13"
"ACOT9","acyl-CoA thioesterase 9","23597","ENSG00000123130.16"
"PRDX4","peroxiredoxin 4","10549","ENSG00000123131.12"
"DDX39A","DExD-box helicase 39A","10212","ENSG00000123136.14"
"PKN1","protein kinase N1","5585","ENSG00000123143.12"
"TRIR","telomerase RNA component interacting RNase","79002","ENSG00000123144.10"
"ADGRE5","adhesion G protein-coupled receptor E5","976","ENSG00000123146.19"
"WDR83","WD repeat domain 83","84292","ENSG00000123154.11"
"GIPC1","GIPC PDZ domain containing family member 1","10755","ENSG00000123159.15"
"ACTRT1","actin related protein T1","139741","ENSG00000123165.8"
"CCDC70","coiled-coil domain containing 70","83446","ENSG00000123171.6"
"SPRYD7","SPRY domain containing 7","57213","ENSG00000123178.14"
"EBPL","EBP like","84650","ENSG00000123179.13"
"ATP7B","ATPase copper transporting beta","540","ENSG00000123191.14"
"ZC3H13","zinc finger CCCH-type containing 13","23091","ENSG00000123200.16"
"GUCY1B2","guanylate cyclase 1 soluble subunit beta 2 (pseudogene)","2974","ENSG00000123201.14"
"NLN","neurolysin","57486","ENSG00000123213.22"
"CENPK","centromere protein K","64105","ENSG00000123219.12"
"OPTN","optineurin","10133","ENSG00000123240.16"
"ITIH5","inter-alpha-trypsin inhibitor heavy chain family member 5","80760","ENSG00000123243.14"
"ATF1","activating transcription factor 1","466","ENSG00000123268.8"
"TSFM","Ts translation elongation factor, mitochondrial","10102","ENSG00000123297.17"
"","","0","ENSG00000123307.3"
"ARHGAP9","Rho GTPase activating protein 9","64333","ENSG00000123329.17"
"NCKAP1L","NCK associated protein 1 like","3071","ENSG00000123338.12"
"MMP19","matrix metallopeptidase 19","4327","ENSG00000123342.15"
"PFDN5","prefoldin subunit 5","5204","ENSG00000123349.13"
"","","0","ENSG00000123352.17"
"","","0","ENSG00000123353.9"
"NR4A1","nuclear receptor subfamily 4 group A member 1","3164","ENSG00000123358.19"
"PDE1B","phosphodiesterase 1B","5153","ENSG00000123360.11"
"HOXC13","homeobox C13","3229","ENSG00000123364.4"
"CDK2","cyclin dependent kinase 2","1017","ENSG00000123374.10"
"LRP1","LDL receptor related protein 1","4035","ENSG00000123384.13"
"HOXC11","homeobox C11","3227","ENSG00000123388.4"
"ATG101","autophagy related 101","60673","ENSG00000123395.14"
"","","0","ENSG00000123405.13"
"HOXC12","homeobox C12","3228","ENSG00000123407.3"
"IKZF4","IKAROS family zinc finger 4","64375","ENSG00000123411.14"
"SMUG1","single-strand-selective monofunctional uracil-DNA glycosylase 1","23583","ENSG00000123415.15"
"TUBA1B","tubulin alpha 1b","10376","ENSG00000123416.15"
"EEF1AKMT3","EEF1A lysine methyltransferase 3","25895","ENSG00000123427.16"
"KBTBD4","kelch repeat and BTB domain containing 4","55709","ENSG00000123444.13"
"TYRL","tyrosinase-like (pseudogene)","7300","ENSG00000123447.6"
"SARDH","sarcosine dehydrogenase","1757","ENSG00000123453.17"
"DBH","dopamine beta-hydroxylase","1621","ENSG00000123454.10"
"ATPAF1","ATP synthase mitochondrial F1 complex assembly factor 1","64756","ENSG00000123472.12"
"STIL","STIL, centriolar assembly protein","6491","ENSG00000123473.15"
"HJURP","Holliday junction recognition protein","55355","ENSG00000123485.11"
"IL13RA2","interleukin 13 receptor subunit alpha 2","3598","ENSG00000123496.7"
"COL10A1","collagen type X alpha 1 chain","1300","ENSG00000123500.9"
"AMD1","adenosylmethionine decarboxylase 1","262","ENSG00000123505.15"
"NDUFAF4","NADH:ubiquinone oxidoreductase complex assembly factor 4","29078","ENSG00000123545.5"
"USP45","ubiquitin specific peptidase 45","85015","ENSG00000123552.17"
"PLP1","proteolipid protein 1","5354","ENSG00000123560.13"
"SERPINA7","serpin family A member 7","6906","ENSG00000123561.14"
"MORF4L2","mortality factor 4 like 2","9643","ENSG00000123562.16"
"H2BFWT","H2B histone family member W, testis specific","158983","ENSG00000123569.8"
"RAB9B","RAB9B, member RAS oncogene family","51209","ENSG00000123570.3"
"NRK","Nik related kinase","203447","ENSG00000123572.16"
"FAM199X","family with sequence similarity 199, X-linked","139231","ENSG00000123575.8"
"ESX1","ESX homeobox 1","80712","ENSG00000123576.5"
"MAGEA9","MAGE family member A9","4108","ENSG00000123584.7"
"ATXN3L","ataxin 3 like","92552","ENSG00000123594.5"
"RAB9A","RAB9A, member RAS oncogene family","9367","ENSG00000123595.7"
"METTL8","methyltransferase like 8","79828","ENSG00000123600.18"
"TTC21B","tetratricopeptide repeat domain 21B","79809","ENSG00000123607.14"
"NMI","N-myc and STAT interactor","9111","ENSG00000123609.10"
"TNFAIP6","TNF alpha induced protein 6","7130","ENSG00000123610.4"
"ACVR1C","activin A receptor type 1C","130399","ENSG00000123612.15"
"BAZ2B","bromodomain adjacent to zinc finger domain 2B","29994","ENSG00000123636.17"
"SLC36A1","solute carrier family 36 member 1","206358","ENSG00000123643.12"
"LPGAT1","lysophosphatidylglycerol acyltransferase 1","9926","ENSG00000123684.12"
"BATF3","basic leucine zipper ATF-like transcription factor 3","55509","ENSG00000123685.8"
"G0S2","G0/G1 switch 2","50486","ENSG00000123689.5"
"","","0","ENSG00000123700.4"
"RAP2C","RAP2C, member of RAS oncogene family","57826","ENSG00000123728.9"
"EXOSC9","exosome component 9","5393","ENSG00000123737.12"
